[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
[u'traffic_light', 0.13868912, u'screw', 0.055047527, u'street_sign', 0.037883811]
